Page,Users,Sessions,Users % of Total,Pageviews,Unique Pageviews,Entrances,Bounce Rate
/,281,330,0.053341,415,362,330,0.554545455
/catalog/data,125,82,0.038535,267,172,80,0.670731707
/catalog,122,86,0.033409,277,216,83,0.174418605
/catalog/portals/reportcard,63,73,0.028047,142,104,72,0.575342466
/catalog/submit,33,19,0.02369,57,50,19,0.526315789
/about/,23,6,0.02047,32,23,6,0.333333333
/team/,20,10,0.018088,34,27,10,0.6
/submit/,20,13,0.016301,35,26,13,0.692307692
/reconciling-historical-and-contemporary-trends-in-terrestrial-carbon-exchange-of-the-northern-permafrost-zone/,20,21,0.014912,25,22,21,0.857142857
/catalog/portals/permafrost/,19,19,0.013781,27,21,18,0.736842105
/data-portals/,18,7,0.012839,29,23,7,0.714285714
/catalog/profile,16,7,0.012022,36,29,7,0.285714286
/catalog/edit/portals,16,9,0.011331,34,27,9,0.777777778
/catalog/portals/reportcard/Data,16,20,0.010739,123,48,20,0.25
/catalog/data/my-data,14,1,0.0102,46,32,1,0
/news/2017/08/employment-opportunities/,14,4,0.009729,15,14,4,0.5
/catalog/portals/permafrost,14,16,0.009313,26,22,16,0.8125
/q-and-a/,13,1,0.008932,16,14,1,1
/working-with-data/,13,1,0.008592,18,15,1,0
/training/,12,5,0.008276,23,12,5,0.4
/catalog/view/doi:10.18739/A21R6N14K,12,12,0.007991,14,13,12,0.916666667
/catalog/view/doi:10.18739/A2Q814S6P,10,10,0.007714,10,10,10,1
/catalog/view/doi:10.18739/A2125Q994,10,9,0.007461,12,10,9,0.666666667
/support/,10,0,0.007229,10,10,0,null
/catalog/drafts,9,9,0.007008,11,10,9,0.222222222
/catalog/view/doi:10.18739/A2ZC7RV70,9,8,0.006805,12,11,8,0.875
/catalog/my-profile,9,3,0.006616,22,16,3,0
/social-scientific-data-workshop/,9,2,0.006441,10,9,2,1
/catalog/view/doi:10.18739/A2KH0F01G,9,9,0.006277,9,9,9,1
/catalog/signin,9,0,0.006125,16,16,0,null
/catalog/portals/DBO,8,4,0.005976,12,9,4,0.75
/catalog/view/doi:10.18739/A2V97ZS50,8,2,0.005837,12,9,3,1
/category/news/,8,1,0.005706,9,8,1,1
/catalog/view/doi:10.18739/A28K74X79,8,5,0.005583,11,8,5,1
/catalog/view/doi:10.18739/A2TH8BN9T,8,11,0.005467,17,15,11,1
/catalog/view/urn:uuid:186030d5-9681-40ea-a630-a6152e5e6349,8,8,0.005357,19,12,8,0.375
/catalog/view/doi:10.18739/A2JM23H02,7,2,0.005248,10,10,2,1
/catalog/portals/reportcard/About,7,8,0.005145,12,12,8,0.375
/catalog/view/urn:uuid:75d34690-dbcb-4af2-9577-a30b99392fa5,7,5,0.005047,12,9,5,0.2
/catalog/view/doi:10.18739/A26M3347S,7,3,0.004954,10,7,3,1
/catalog/share,7,2,0.004866,11,11,2,0
/catalog/portals/reportcard/Metrics,7,5,0.004782,19,10,5,0.8
/catalog/view/doi:10.5194/tc-11-1607-2017,7,2,0.004701,7,7,2,1
/catalog/view/doi:10.7265/N5K072F8,6,2,0.004621,7,6,2,0.5
/catalog/view/urn:uuid:8808b823-a52e-4495-adff-9209afac519f,6,6,0.004543,14,11,6,0.666666667
/catalog/view/urn:uuid:1e8f86f6-8372-4fc9-bde4-d6489ce3fc51,6,3,0.004469,10,7,3,0.666666667
/catalog/view/doi:10.18739/A2DB7VR1P,6,3,0.004398,8,6,3,0.666666667
/catalog/view/doi:10.18739/A2PR7MV5P,6,7,0.00433,21,11,7,0.857142857
/publications/,6,0,0.004265,9,6,0,null
/catalog/view/doi:10.18739/A2NV99B5Q,5,4,0.004199,5,5,4,1
/catalog/view/doi:10.18739/A2R20RX4T,5,5,0.004135,5,5,5,1
/catalog/edit/portals/reportcard,5,9,0.004074,32,25,9,0.777777778
