Page,Users,Sessions,Users_%_of_Total,Pageviews,Unique_Pageviews,Entrances,Bounce_Rate
/,25436,42464,0.440145,75951,55359,42443,0.421957423
/catalog,4310,2280,0.257363,12070,8734,2131,0.247368421
/catalog/,4130,416,0.195397,33,26,19,0.033653846
/data,3291,2306,0.160785,19380,9507,2319,0.273200347
/catalog/data,3114,3395,0.139405,14923,7964,3298,0.253608247
/about/,2637,941,0.123776,3942,3297,944,0.582359192
/team/,1634,614,0.110133,2554,2117,615,0.684039088
/submit/,1384,898,0.09936,3255,2395,901,0.643652561
/page/0,1174,1580,0.090577,5362,3813,1582,0.158860759
/training/,1166,892,0.083537,2245,1639,892,0.515695067
/publications/,1120,431,0.077705,1701,1326,432,0.744779582
/share,1060,528,0.072758,4532,2706,529,0.357954545
/profile,989,232,0.068477,1609,1338,238,0.61637931
/q-and-a/,912,214,0.064713,1430,1181,214,0.570093458
/january-2019-data-science-training-for-arctic-researchers/,903,1004,0.061441,1359,1191,1004,0.815737052
/data/page/0,873,556,0.058545,4704,2254,557,0.303956835
/catalog/profile,799,193,0.055914,1376,1121,188,0.564766839
/proposals/,773,660,0.053551,1187,1008,661,0.762121212
/home.htm,735,800,0.051402,936,817,800,0.56875
/support/,729,121,0.049463,1308,1004,122,0.58677686
/data-plans/,685,384,0.047672,932,827,384,0.841145833
/2018-data-science-training-for-arctic-researchers/,649,639,0.046015,982,876,639,0.723004695
/news/2016/06/data-science-opportunities/,629,371,0.044488,810,733,371,0.851752022
/upcoming-data-science-training-for-arctic-researchers/,599,612,0.043066,857,767,612,0.823529412
/catalog/submit,582,302,0.041746,1657,1196,304,0.523178808
/catalog/portals/permafrost/,548,651,0.040505,874,722,650,0.769585253
/reconciling-historical-and-contemporary-trends-in-terrestrial-carbon-exchange-of-the-northern-permafrost-zone/,546,844,0.039355,1189,995,844,0.808056872
/view/doi:10.3334/CDIAC/00001_V2017,522,562,0.038272,769,619,562,0.807829181
/catalog/share,521,399,0.037263,1197,994,378,0.483709273
/category/news/,512,197,0.036317,822,672,197,0.624365482
/history/,466,89,0.035405,604,546,90,0.651685393
/data/my-data,453,126,0.034544,2256,1283,127,0.214285714
/catalog/view/doi:10.18739/A24M9198B,439,504,0.033727,587,518,504,0.81547619
/data-portals/,427,406,0.032952,852,656,406,0.568965517
/preservation/,394,158,0.032206,611,516,159,0.702531646
/training_july2017/,380,468,0.031494,586,514,468,0.83974359
/catalog/data/my-data,372,133,0.030817,1952,1168,138,0.112781955
/submit,334,117,0.030158,1341,766,117,0.230769231
/dataset-highlights/,328,124,0.02953,718,522,124,0.483870968
/catalog/portals/permafrost,327,336,0.028933,599,490,336,0.803571429
/synthesis-working-groups/,283,61,0.028347,500,401,62,0.68852459
/upcoming-,258,257,0.027778,258,258,257,0.996108949
/employment-opportunities/,252,106,0.027234,354,306,106,0.79245283
/catalog/signin,246,37,0.026712,583,524,37,0.135135135
/blog/2020/06/bringing-arctic-data-into-undergraduate-classrooms/,238,254,0.026209,295,275,254,0.791338583
/news/2017/08/data-science-opportunities/,227,70,0.025725,371,290,70,0.671428571
/social-scientific-data-workshop/,225,258,0.025261,526,408,258,0.782945736
/uncategorized/2017/08/data-science-opportunities/,213,47,0.024811,334,255,47,0.744680851
/catalog/edit/portals,201,36,0.024376,420,319,36,0.527777778
/data/page/2,198,20,0.023957,412,247,20,0.5
/news/2016/03/press-release/,193,87,0.023552,257,229,87,0.67816092
/dataset-highlight-investigating-rotten-ice-with-dr-karen-junge/,186,180,0.023161,244,212,180,0.761111111
/catalog/view/doi:10.18739/A25T3FZ8X,158,194,0.022776,279,217,194,0.546391753
/signin,151,44,0.022403,394,225,44,0.340909091
/news/2017/02/proposals/,151,34,0.022043,192,166,34,0.588235294
/catalog/data/page/2,150,19,0.021696,389,190,19,0.368421053
/catalog/portals/CALM,150,72,0.02136,227,196,72,0.583333333
/catalog/view/doi:10.18739/A2JH3D23R,144,179,0.021035,244,206,179,0.642458101
/working-with-data/,143,20,0.020721,310,225,20,0.5
/catalog/portals/DBO,142,146,0.020416,377,299,143,0.561643836
/sharebutton.to,129,129,0.020118,379,129,129,0.015503876
/catalog/view/doi:10.18739/A20P0WQ7M,128,133,0.019829,181,150,133,0.744360902
/news/2018/08/call-for-applicants-january-2019-data-science-training/,124,27,0.019549,158,147,27,0.592592593
/news/2016/04/webinar-recap-nsf-arctic-data-center-overview/,121,68,0.019276,173,152,68,0.794117647
/polar-2018-data-management-101-workshops/,118,63,0.019011,238,179,63,0.682539683
/projects/,118,132,0.018754,168,134,133,0.424242424
/category/blog/,117,28,0.018504,429,250,28,0.5
/news/2018/03/call-for-synthesis-working-group-proposals/,114,25,0.018261,163,139,25,0.92
/view/doi:10.3334/CDIAC/ATG.032,114,123,0.018025,163,131,123,0.804878049
/catalog/view/doi:10.5065/D69G5JX5,113,169,0.017795,207,171,169,0.769230769
/catalog/view/doi:10.18739/A26D5PB2S,112,95,0.017572,188,154,96,0.736842105
/view/urn:uuid:ef1feed0-9057-4afb-963e-03769a0b3e85,107,285,0.017354,425,314,285,0.736842105
/catalog/view/doi:10.18739/A2CD5M,105,118,0.017141,168,144,118,0.694915254
/catalog/view/doi:10.18739/A21R6N14K,103,125,0.016933,182,152,126,0.8
/news/2019/01/2019-arctic-data-center-data-science-trainings/,103,17,0.016731,132,112,17,0.647058824
/news/2017/03/arctic-data-center-training-workshop/,102,12,0.016534,139,111,12,0.666666667
/data/page/3,99,1,0.016342,184,112,1,0
/news/2017/08/employment-opportunities/,98,19,0.016154,103,99,19,0.789473684
/catalog/view/doi:10.18739/A2KG55,94,103,0.01597,132,107,103,0.757281553
/view/doi:10.5065/D6N014HK,92,109,0.01579,155,119,109,0.697247706
/view/doi:10.18739/A2BJ96,89,73,0.015614,122,103,73,0.712328767
/news/2017/06/webinar-registration-open-tools-and-strategies-for-archiving-data/,88,23,0.015443,114,105,23,0.913043478
/dataset-highlight-data-provenance-and-arctic-soil-bacteria/,88,36,0.015275,154,126,36,0.638888889
/news/2016/12/dataone-welcomes-the-arctic-data-center-as-its-36th-member-node/,88,15,0.015111,101,96,15,0.733333333
/news/2018/06/polar-2018-workshop-presentation-slides-now-available-online/,86,22,0.014951,106,92,22,0.818181818
/view/doi:10.18739/A2W22P,85,68,0.014794,113,100,68,0.897058824
/catalog/portals/dbo,84,50,0.014641,132,114,49,0.6
/news/2017/05/call-for-applications-data-science-training-for-arctic-research/,83,6,0.014491,107,93,6,0.5
/profile/http://orcid.org/0000-0002-1006-9496,82,61,0.014344,620,506,61,0.213114754
/view/doi:10.5065/D6JH3J7Z,82,63,0.0142,156,122,64,0.777777778
/dataset-highlight-dissolved-organic-carbon-with-dr-rose-cory/,82,59,0.01406,120,106,59,0.796610169
/news/2017/12/the-thomas-fire-in-santa-barbara/,82,10,0.013922,107,88,10,0.5
/catalog/view/doi:10.18739/A2VC2G,81,99,0.013788,114,101,99,0.747474747
/news/2019/07/call-for-abstracts-third-polar-data-forum-pdf-iii/,78,17,0.013655,83,82,17,0.941176471
/news/2018/10/arctic-data-center-at-agu-2018-december-10-14-2018/,74,6,0.013525,84,78,6,0.833333333
